Gene	Alteration	Classification	Process
ABL1	mut	Oncogene	Cell Survival
ACVR1B	mut	TSG	Cell Survival
AKT1	mut	Oncogene	Cell Survival
ALK	mut	Oncogene	Cell Survival
APC	mut	TSG	Cell Fate
AR	mut	Oncogene	Cell Fate
ARID1A	mut	TSG	Cell Fate
ARID1B	mut	TSG	Cell Fate
ARID2	mut	TSG	Cell Fate
ASXL1	mut	TSG	Cell Fate
ATM	mut	TSG	Genome Maintenance
ATRX	mut	TSG	Cell Fate
AXIN1	mut	TSG	Cell Fate
B2M	mut	TSG	Cell Survival
BAP1	mut	TSG	Genome Maintenance
BCL2	mut	Oncogene	Cell Survival
BCOR	mut	TSG	Cell Fate
BRAF	mut	Oncogene	Cell Survival
BRCA1	mut	TSG	Genome Maintenance
BRCA2	mut	TSG	Genome Maintenance
CARD11	mut	Oncogene	Cell Survival
CASP8	mut	TSG	Cell Survival
CBL	mut	Oncogene	Cell Survival
CDC73	mut	TSG	Cell Survival
CDH1	mut	TSG	Cell Fate
CDKN2A	mut	TSG	Cell Survival
CEBPA	mut	TSG	Cell Survival
CIC	mut	TSG	Cell Survival
CREBBP	mut	TSG	Cell Fate
CRLF2	mut	Oncogene	Cell Survival
CSF1R	mut	Oncogene	Cell Survival
CTNNB1	mut	Oncogene	Cell Fate
CYLD	mut	TSG	Cell Survival
DAXX	mut	TSG	Cell Fate
DNMT1	mut	Oncogene	Cell Fate
DNMT3A	mut	Oncogene	Cell Fate
EGFR	mut	Oncogene	Cell Survival
EP300	mut	TSG	Cell Survival/Fate
ERBB2	mut	Oncogene	Cell Survival
EZH2	mut	Oncogene	Cell Fate
FAM123B	mut	TSG	Cell Fate
FBXW7	mut	TSG	Cell Fate
FGFR2	mut	Oncogene	Cell Survival
FGFR3	mut	Oncogene	Cell Survival
FLT3	mut	Oncogene	Cell Survival
FOXL2	mut	Oncogene	Cell Fate
FUBP1	mut	TSG	Cell Survival
GATA1	mut	TSG	Cell Fate
GATA2	mut	Oncogene	Cell Fate
GATA3	mut	TSG	Cell Fate
GNA11	mut	Oncogene	Cell Survival
GNAQ	mut	Oncogene	Cell Survival
GNAS	mut	Oncogene	Cell Survival/Cell Fate
H3F3A	mut	Oncogene	Cell Fate
HIST1H3B	mut	Oncogene	Cell Fate
HNF1A	mut	TSG	Cell Fate
HRAS	mut	Oncogene	Cell Survival
IDH1	mut	Oncogene	Cell Fate
IDH2	mut	Oncogene	Cell Fate
JAK1	mut	Oncogene	Cell Survival
JAK2	mut	Oncogene	Cell Survival
JAK3	mut	Oncogene	Cell Survival
KDM5C	mut	TSG	Cell Fate
KDM6A	mut	TSG	Cell Fate
KIT	mut	Oncogene	Cell Survival
KLF4	mut	Oncogene	Cell Fate
KRAS	mut	Oncogene	Cell Survival
MAP2K1	mut	Oncogene	Cell Survival
MAP3K1	mut	TSG	Cell Survival
MED12	mut	Oncogene	Cell Survival
MEN1	mut	TSG	Cell Fate
MET	mut	Oncogene	Cell Survival
MLH1	mut	TSG	Genome Maintenance
MLL2	mut	TSG	Cell Fate
MLL3	mut	TSG	Cell Fate
MPL	mut	Oncogene	Cell SUrvival
MSH2	mut	TSG	Genome Maintenance
MSH6	mut	TSG	Genome Maintenance
MYD88	mut	Oncogene	Cell Survival
NCOR1	mut	TSG	Cell Fate
NF1	mut	TSG	Cell Survival
NF2	mut	TSG	Cell Fate
NFE2L2	mut	Oncogene	Cell Survival
NOTCH1	mut	TSG	Cell Fate
NOTCH2	mut	TSG	Cell Fate
NPM1	mut	TSG	Cell Survival
NRAS	mut	Oncogene	Cell Survival
PAX5	mut	TSG	Cell Fate
PBRM1	mut	TSG	Cell Fate
PDGFRA	mut	Oncogene	Cell Survival
PHF6	mut	TSG	Cell Fate
PIK3CA	mut	Oncogene	Cell Survival
PIK3R1	mut	TSG	Cell Survival
PPP2R1A	mut	Oncogene	Cell Survival
PRDM1	mut	TSG	Cell Fate
PTCH1	mut	TSG	Cell Fate
PTEN	mut	TSG	Cell Survival
PTPN11	mut	Oncogene	Cell Survival
RB1	mut	TSG	Cell Survival
RET	mut	Oncogene	Cell Survival
RNF43	mut	TSG	Cell Fate
RUNX1	mut	TSG	Cell Fate
SETD2	mut	TSG	Cell Fate
SETBP1	mut	Oncogene	Cell Fate
SF3B1	mut	Oncogene	Cell Fate
SMAD2	mut	TSG	Cell Survival
SMAD4	mut	TSG	Cell Survival
SMARCA4	mut	TSG	Cell Fate
SMARCB1	mut	TSG	Cell Fate
SMO	mut	Oncogene	Cell Fate
SOCS1	mut	TSG	Cell Survival
SOX9	mut	TSG	Cell Survival
SPOP	mut	Oncogene	Cell Fate
SRSF2	mut	Oncogene	Cell Fate
STAG2	mut	TSG	Genome Maintenance
STK11	mut	TSG	Cell Survival
TET2	mut	TSG	Cell Fate
TNFAIP3	mut	TSG	Cell Survival
TRAF7	mut	TSG	Cell Survival
TP53	mut	TSG	Cell Survival
TSC1	mut	TSG	Cell SUrvival
TSHR	mut	Oncogene	Cell Survival
U2AF1	mut	Oncogene	Cell Fate
VHL	mut	TSG	Cell Survival
WT1	mut	TSG	Cell Fate
CCND1	amp	Oncogene	Cell Survival
CDKN2C	loss	TSG	Cell Survival
IKZF1	loss	TSG	Cell Fate
LMO1	amp	Oncogene	Cell Fate
MAP2K4	loss	TSG	Cell Survival
MDM2	amp	Oncogene	Cell Survival
MDM4	amp	Oncogene	Cell Survival
MYC	amp	Oncogene	Cell Survival
MYCL1	amp	Oncogene	Cell Survival
MYCN	amp	Oncogene	Cell Survival
NCOA3	amp	Oncogene	Cell Fate
NKX2-1	amp	Oncogene	Cell Survival
SKP2	amp	Oncogene	Cell Survival